ID_CATEGORIA;EDAD;SEXO;NIVEL_EDUCATIVO;ESTADO_CIVIL;HIJOS;ID_PRODUCTO;UNID_VENTAS;VISTAS;COSTO_UNIT;PRECIO_UNIT_VENTA;MARGEN;COMPRA
2;67;2;5;2;2;2;0;51;60;78;0;1
2;52;2;2;1;0;2;0;54;60;78;0;0
2;38;2;3;2;3;2;25;42;60;78;0;0
2;68;2;1;1;2;2;0;47;60;78;0;0
2;60;1;2;2;1;2;0;26;60;78;0;0
2;53;1;5;2;3;2;0;38;60;78;0;1
2;24;1;3;2;2;2;0;33;60;78;0;0
2;19;2;4;1;1;2;25;41;60;78;0;1
2;34;2;1;1;0;2;0;42;60;78;0;0
2;28;1;4;1;0;2;0;37;60;78;0;0
2;42;1;2;2;3;2;0;41;60;78;0;0
2;42;2;4;1;1;2;0;41;60;78;0;1
2;25;2;3;1;2;2;0;33;60;78;0;0
2;38;1;1;1;1;2;25;48;60;78;0;1
2;42;1;5;1;3;2;0;39;60;78;0;0
2;42;1;2;2;3;2;25;33;60;78;0;0
2;46;1;2;1;1;2;0;29;60;78;0;0
2;44;2;1;2;1;2;0;10;60;78;0;1
2;67;2;4;2;3;2;0;0;75;97;0;1
2;32;2;4;1;0;2;0;0;75;78;0;1
2;40;1;3;2;0;2;0;0;75;78;0;1
2;44;2;1;1;3;2;0;0;75;78;0;0
2;60;2;1;2;2;2;3;0;75;78;0;0
2;48;2;2;1;0;2;0;0;75;78;0;0
2;60;2;3;1;0;2;0;0;75;78;0;0
2;35;2;4;1;0;2;0;0;75;78;0;1
2;65;2;2;1;0;2;0;0;75;78;0;0
2;65;1;3;1;0;2;0;0;79;102;0;0
2;31;2;5;2;1;2;0;0;79;102;0;1
2;24;2;2;2;0;2;0;0;79;102;0;1
2;59;1;4;1;3;2;0;0;79;102;0;0
2;63;2;1;2;0;2;0;6;79;102;0;1
2;23;2;4;1;0;2;0;14;79;102;0;1
2;47;1;5;2;1;2;0;13;79;102;0;1
2;59;1;3;2;3;2;0;21;79;102;0;1
2;44;1;2;2;3;2;0;15;79;102;0;0
2;59;2;2;1;3;2;0;13;79;102;0;1
2;24;1;4;1;1;2;0;25;79;102;0;0
2;43;2;3;1;1;2;0;23;79;102;0;1
2;27;1;3;1;1;2;0;14;79;102;0;0
2;46;1;5;2;3;2;0;12;79;102;0;0
2;63;2;2;1;3;2;0;22;79;102;0;1
2;41;1;1;1;2;2;0;20;79;102;0;1
2;59;1;3;1;0;2;0;17;79;102;0;0
2;21;1;1;1;0;2;0;19;79;102;0;1
2;53;2;5;1;1;2;25;32;79;102;0;0
2;67;2;4;1;1;2;0;18;79;102;0;0
2;30;1;3;2;1;2;0;24;79;102;0;0
2;67;2;1;1;3;2;0;19;79;102;0;0
2;55;2;3;2;1;2;0;25;60;78;0;0
2;37;1;5;1;1;2;25;17;60;78;0;1
2;51;1;3;1;2;2;0;24;60;102;0;0
2;33;2;4;2;2;2;0;17;60;102;0;0
2;40;1;5;2;0;2;0;20;60;102;0;1
2;58;1;1;1;2;2;0;28;60;102;0;1
2;39;2;5;1;1;2;0;24;60;78;0;0
2;38;2;2;2;0;2;0;17;59;78;0;0
2;41;1;2;2;1;2;0;27;59;78;0;1
2;53;1;3;1;2;2;0;26;59;78;0;0
2;28;1;4;1;2;2;0;23;59;78;0;1
2;66;2;5;2;1;2;0;34;59;78;0;0
2;31;1;1;2;0;2;0;42;59;78;0;1
2;25;2;2;1;2;2;0;36;59;78;0;0
2;40;1;3;1;1;2;0;42;59;78;0;0
2;27;2;1;1;0;2;0;33;59;78;0;1
2;47;2;5;2;0;2;0;45;59;78;0;1
2;49;2;2;1;2;2;0;30;59;78;0;1
2;54;1;5;2;0;2;0;21;59;78;0;0
2;48;2;5;2;1;2;25;42;59;78;0;1
2;18;1;2;1;1;2;0;22;59;76;0;0
2;34;2;4;2;1;2;25;26;59;76;0;0
2;54;2;2;1;0;2;0;51;59;76;0;1
2;27;2;1;2;3;2;0;27;60;78;0;0
2;46;1;2;2;3;2;0;2;60;78;0;0
2;47;1;1;2;3;2;0;1;60;78;0;0
2;43;2;2;2;3;2;0;3;60;78;0;1
2;50;1;5;2;2;2;0;3;60;78;0;0
2;56;2;3;2;0;2;0;4;60;78;0;1
2;39;1;5;2;1;2;0;7;60;78;0;0
2;36;1;1;1;0;2;0;7;60;78;0;1
2;22;1;4;2;0;2;0;20;60;78;0;1
2;33;2;4;2;1;2;0;6;60;78;0;1
2;63;1;4;2;3;2;0;10;60;78;0;1
2;30;1;1;1;1;2;0;7;60;78;0;0
2;57;1;2;2;0;2;0;10;60;78;0;0
2;60;1;4;2;3;2;0;8;60;78;0;0
2;44;1;4;1;3;2;0;9;60;78;0;1
2;28;1;5;1;0;2;0;7;60;78;0;1
2;29;1;1;1;3;2;0;9;60;78;0;1
2;53;1;5;2;3;2;0;5;60;78;0;1
2;33;1;3;1;1;2;0;7;60;78;0;0
2;48;2;5;2;3;2;0;5;60;78;0;1
2;62;1;1;1;1;2;0;7;60;78;0;0
2;44;2;2;1;1;2;0;10;60;78;0;1
2;32;1;3;2;1;2;0;11;60;78;0;1
2;58;2;4;1;2;2;0;6;60;78;0;1
2;40;2;1;1;1;2;0;8;60;78;0;1
2;30;1;1;2;1;2;0;9;60;78;0;0
2;28;1;5;1;1;2;0;7;60;78;0;1
2;23;1;3;2;0;2;0;6;60;78;0;0
2;64;1;1;1;3;2;2;9;60;78;0;1
2;42;1;3;1;1;2;0;6;60;78;0;0
2;29;1;2;1;3;2;0;9;60;78;0;0
2;60;2;2;2;3;2;0;7;0;0;0;1
2;62;2;2;2;3;2;0;5;0;0;0;1
2;58;2;5;2;1;2;0;8;0;0;0;0
2;18;1;1;1;0;2;0;9;0;0;0;0
2;52;1;5;1;1;2;0;4;0;0;0;0
2;50;1;1;1;0;2;0;5;0;0;0;0
2;63;1;4;1;1;2;0;5;0;0;0;1
2;27;1;2;1;2;2;0;3;0;0;0;0
2;26;1;4;2;2;2;0;2;0;0;0;1
2;41;2;4;1;3;2;0;3;0;0;0;1
2;30;1;3;2;0;2;0;5;0;0;0;0
2;46;1;3;2;2;2;0;6;0;0;0;0
2;23;1;4;2;3;2;0;9;0;0;0;1
2;51;1;4;2;3;2;0;5;0;0;0;0
2;31;1;2;2;3;2;0;7;0;0;0;0
2;43;1;3;1;0;2;0;5;0;0;0;0
